AIRLINE,COUNTRY,INFORMATION
BBN Airlines,  Turkey,  6 aircraft 
BBN Airlines Indonesia,  Indonesia,  1 aircraft 
BCM,  Spain, inactive (with supported aircraft)
Bearskin Airlines,  Canada, inactive (with supported aircraft)
Bees Airline,  Ukraine, inactive (with supported aircraft)
Beijing Airlines,  China,  4 aircraft 
Bek Air,  Qazakhstan, inactive (with supported aircraft)
Belair,  Switzerland, inactive (with supported aircraft)
Belair Ile-de-France,  France, inactive (with supported aircraft)
Belavia,  Belarus,  14 aircraft 
Belgian Air Force,  Belgium, inactive (with supported aircraft)
Belgium Exel,  Belgium, inactive (with supported aircraft)
Belle Air,  Albania, inactive (with supported aircraft)
Belle Air Europe,  Italy, inactive (with supported aircraft)
Bellview Airlines,  Nigeria, inactive (with supported aircraft)
Benelux Falcon,  Belgium, inactive (with supported aircraft)
Benin Golf Air,  Benin, inactive (with supported aircraft)
Beond,  Maldives,  1 aircraft 
Ber-Line,  Germany, inactive (with supported aircraft)
Bering Air,  USA,  4 aircraft 
Berjaya Air,  Malaysia,  1 aircraft 
Berkut Air,  Qazakhstan,  4 aircraft 
Berlin European,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to Germania
Berliner Spezial Flug,  Germany, inactive (with supported aircraft)
Bermudair,  Bermuda,  1 aircraft 
Berniq Airways,  Libya,  5 aircraft 
Berry Aviation,  USA,  17 aircraft 
Best Air,  Turkey, inactive (with supported aircraft)
Best Aviation,  Bangladesh, inactive (with supported aircraft)
Bestfly,  Angola,  2 aircraft 
Bestfly Cabo Verde,  Cape Verde,  2 aircraft 
BEX-Business Express,  USA, inactive (with supported aircraft)Renamed / Merged to American Eagle
BH Air - Balkan Holidays,  Bulgaria,  3 aircraft 
BH Airlines,  Bosnia-Hercegovina, inactive (with supported aircraft)
Bhoja Air,  Pakistan, inactive (with supported aircraft)
Bhutan Airlines,  Bhutan,  2 aircraft 
BIA (British Island Airways),  United Kingdom, inactive (with supported aircraft)
Bid Air Cargo,  South Africa,  3 aircraft 
Big Sky Airlines,  USA, inactive (with supported aircraft)
Bighorn Airways,  USA,  1 aircraft 
Biman Bangladesh,  Bangladesh,  21 aircraft 
Bimini Island Air,  USA, inactive (with supported aircraft)
Binani Air,  Nigeria,  1 aircraft 
Bingo Airways,  Poland, inactive (with supported aircraft)
Binter Cabo Verde,  Cape Verde, inactive (with supported aircraft)Renamed / Merged to TICV - Transportes Interilhas de Cabo Verde
Binter Canarias,  Spain,  34 aircraft 
Bionic Aviation,  South Africa, inactive (with supported aircraft)
Birdy Airlines (SN Brussels),  Belgium, inactive (with supported aircraft)Renamed / Merged to SN Brussels Airlines
Birgenair,  Turkey, inactive (with supported aircraft)
Birmingham European Airways,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to Brymon Airways
Birmingham Executive Airways,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to Birmingham European Airways
Bismillah Airlines,  Bangladesh, inactive (with supported aircraft)
Black Stone Airlines,  Indonesia,  3 aircraft 
Blue 1,  Finland, inactive (with supported aircraft)
Blue Air,  Romania, inactive (with supported aircraft)
Blue Bird Aviation,  Kenya,  9 aircraft 
Blue Bird Yemen,  Yemen,  2 aircraft 
Blue Dart Aviation,  India,  7 aircraft 
Blue Islands,  United Kingdom,  5 aircraft 
Blue Jet,  Poland, inactive (with supported aircraft)Renamed / Merged to Jet Story
Blue Line,  France, inactive (with supported aircraft)
Blue Moon Aviation,  USA, inactive (with supported aircraft)
Blue Panorama Airlines,  Italy, inactive (with supported aircraft)
Blue Ridge Aero Services,  USA,  2 aircraft 
Blue Scandinavia,  Sweden, inactive (with supported aircraft)Renamed / Merged to Britannia AB
Blue Sky,  Armenia, inactive (with supported aircraft)
Blue Sky Airways,  Botswana, inactive (with supported aircraft)
Blue Sky Aviation Services,  Saudi Arabia, inactive (with supported aircraft)
Blue Square Aviation,  Malta,  1 aircraft 
Blue Wing Airlines,  Surinam, inactive (with supported aircraft)
Blue Wings,  Germany, inactive (with supported aircraft)
Bluebird Airways,  Greece,  3 aircraft 
Bluebird Cargo,  Iceland, inactive (with supported aircraft)Renamed / Merged to Bluebird Nordic
Bluebird Nordic,  Iceland,  10 aircraft 
BlueSky Airlines,"  Congo, Democratic Republic of", inactive (with supported aircraft)
bmi British Midland,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to British Airways
bmi Regional,  United Kingdom, inactive (with supported aircraft)
bmibaby,  United Kingdom, inactive (with supported aircraft)
BOAC,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to British Airways
Bocas Air,  Panama, inactive (with supported aircraft)
Boeing,  USA,  9 aircraft 
Boliviana de Aviacion,  Bolivia,  21 aircraft 
Bombardier,  Canada,  6 aircraft 
Bonair Exel,  Netherlands, inactive (with supported aircraft)Renamed / Merged to Bonair Express
Bonair Express,  Netherlands Antilles, inactive (with supported aircraft)
Bonza Airline,  Australia,  4 aircraft 
Bopair,  South Africa, inactive (with supported aircraft)
BoraJet,  Turkey, inactive (with supported aircraft)
Bosnian Wand Airlines,  Bosnia-Hercegovina, inactive (with supported aircraft)
Bosphorus Air Transport,  Turkey, inactive (with supported aircraft)
Bosphorus European Airways,  Turkey, inactive (with supported aircraft)
Bouraq Indonesia Airlines,  Indonesia, inactive (with supported aircraft)
BQB Lineas Aereas,  Uruguay, inactive (with supported aircraft)Renamed / Merged to Amaszonas Uruguay
BRA Braathens Regional,  Sweden,  15 aircraft 
BRA Transportes Aereos,  Brazil, inactive (with supported aircraft)
Braathens,  Norway, inactive (with supported aircraft)Renamed / Merged to SAS Braathens
Braathens International Airways,  Sweden,  4 aircraft 
Braathens-Malmo Aviation,  Sweden, inactive (with supported aircraft)Renamed / Merged to Malmo Aviation
Braniff Airways,  USA, inactive (with supported aircraft)
Branson Air,  South Africa, inactive (with supported aircraft)
Brasilian Air Force,  Brazil,  37 aircraft 
Brasmex,  Brazil, inactive (with supported aircraft)
Bravo Air,  Georgia, inactive (with supported aircraft)
Bravo Airlines,  Spain, inactive (with supported aircraft)
Bravo Airways,  Ukraine, inactive (with supported aircraft)
Breeze Airways,  USA,  33 aircraft 
Bremenfly,  Germany, inactive (with supported aircraft)
Bridges Air Cargo,  Malta, inactive (with supported aircraft)
Bridges Worldwide,  United Kingdom, inactive (with supported aircraft)
Bright Flight,  Bulgaria, inactive (with supported aircraft)
Bristow Helicopters Nigeria,  Nigeria,  1 aircraft 
Brit Air,  France, inactive (with supported aircraft)Renamed / Merged to Hop!
Britannia AB,  Sweden, inactive (with supported aircraft)Renamed / Merged to TUIfly Nordic AB
Britannia Airways,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to Thomson Airways
Britannia Deutschland,  Germany, inactive (with supported aircraft)
British Air Ferries,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to British World Airlines
British Airtours,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to Caledonian Airways
British Airways,  United Kingdom,  243 aircraft 
British Airways CitiExpress,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to BA Connect
British Asia Airways,  United Kingdom, inactive (with supported aircraft)
British Caledonian Airways,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to British Airways
British Caribbean Airways,  United Kingdom, inactive (with supported aircraft)
British European Airways,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to Flybe
British Mediterranean,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to bmi British Midland
British Midland Airways,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to bmi British Midland
British Midland Commuter,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to bmi British Midland
British Regional Airlines,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to British Airways CitiExpress
British World Airlines,  United Kingdom, inactive (with supported aircraft)
BritishJet,  Malta, inactive (with supported aircraft)
Britt Airlines,  USA, inactive (with supported aircraft)Renamed / Merged to Continental Express
Brockway Air,  USA, inactive (with supported aircraft)Renamed / Merged to Metro Air Northeast
Brunei Gvmt,  Brunei Darussalam,  2 aircraft 
Brussels Airlines,  Belgium,  44 aircraft 
Brussels International Airlines,  Belgium, inactive (with supported aircraft)
Brymon Airways,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to British Airways CitiExpress
Brymon European Airways,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to Brymon Airways
Budapest Air Service,  Hungary,  3 aircraft 
Buddha Air,  Nepal,  15 aircraft 
Budgetlines,  Thailand,  2 aircraft 
Buff Air Services,  Kenya,  2 aircraft 
Buffalo Airways,  Turkey, inactive (with supported aircraft)
Buffalo Airways Canada,  Canada,  2 aircraft 
Bukovyna Aviation Enterprise,  Ukraine, inactive (with supported aircraft)
Bul Air,  Bulgaria,  4 aircraft 
Bulgaria Air,  Bulgaria,  12 aircraft 
Bulgarian Air Charter,  Bulgaria, inactive (with supported aircraft)Renamed / Merged to European Air Charter
Bulgarian Eagle,  Bulgaria, inactive (with supported aircraft)
Bural - Buryat Airlines,  Russia, inactive (with supported aircraft)
Buraq Air,  Libya,  4 aircraft 
Business Air,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to British Midland Commuter
Business Air Thailand,  Thailand, inactive (with supported aircraft)
Busy Bee of Norway,  Norway, inactive (with supported aircraft)Renamed / Merged to Norwegian Air Shuttle
Buta Airways,  Azerbaijan,  7 aircraft 
Buzz,  Poland,  64 aircraft 
Buzz UK,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to Ryanair (Buzz)
BVI Airways,  Virgin Islands (British), inactive (with supported aircraft)
BWIA West Indies Airways,  Trinidad Tobago, inactive (with supported aircraft)Renamed / Merged to Caribbean Airlines
CAAC,  China, inactive (with supported aircraft)
Cal Air International,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to Novair International Airways
CAL Cargo Air Lines,  Israel,  2 aircraft 
Caledonian Airways,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to JMC Airlines
California Pacific Airlines,  USA, inactive (with supported aircraft)
Calima Aviacion,  Spain, inactive (with supported aircraft)
Calliope,  Spain, inactive (with supported aircraft)
Cally Air,  Nigeria,  2 aircraft 
Calm Air International,  Canada,  12 aircraft 
Camair Co,  Cameroon,  2 aircraft 
Cambodia Airlines,  Cambodia, inactive (with supported aircraft)
Cambodia Airways,  Cambodia,  5 aircraft 
Cambodia Angkor Air,  Cambodia,  5 aircraft 
Cameroon Airlines,  Cameroon, inactive (with supported aircraft)
Cameroon Government,  Cameroon, inactive (with supported aircraft)
CAMEX Adria Airlines,  Slovenia, inactive (with supported aircraft)
CAMEX Airlines,  Georgia,  2 aircraft 
Canada 3000,  Canada, inactive (with supported aircraft)
Canadian Air Force,  Canada,  7 aircraft 
Canadian Airlines,  Canada, inactive (with supported aircraft)Renamed / Merged to Air Canada
Canadian Airways Congo,"  Congo, Democratic Republic of",  3 aircraft 
Canadian North,  Canada,  28 aircraft 
Canadian Regional Airlines,  Canada, inactive (with supported aircraft)Renamed / Merged to Air Canada Regional
Canafrica,  Spain, inactive (with supported aircraft)Renamed / Merged to Air Sur
Canair,  Canada, inactive (with supported aircraft)Renamed / Merged to Royal Aviation
Canarias Airlines,  Spain, inactive (with supported aircraft)
Canarias Regional Air,  Spain, inactive (with supported aircraft)
CanaryFly,  Spain,  5 aircraft 
Canjet Airlines,  Canada, inactive (with supported aircraft)
Cape Air,  USA, inactive (with supported aircraft)
Capital Airlines,  Nigeria, inactive (with supported aircraft)
Capital Airlines Beijing,  China,  81 aircraft 
Capital Airlines UK,  United Kingdom, inactive (with supported aircraft)
Capital Airways,  USA, inactive (with supported aircraft)
Capital Cargo International Airlines,  USA, inactive (with supported aircraft)Renamed / Merged to Air Transport International
Capital Taxi Aéreo,  Brazil, inactive (with supported aircraft)
Capitol Air,  USA, inactive (with supported aircraft)
Cardig Air Cargo,  Indonesia, inactive (with supported aircraft)
Cardinal,  Argentina, inactive (with supported aircraft)
Cargair International,"  Congo, Democratic Republic of", inactive (with supported aircraft)
Cargo 360,  USA, inactive (with supported aircraft)
Cargo Air,  Bulgaria,  14 aircraft 
Cargo B Airlines,  Belgium, inactive (with supported aircraft)
Cargo Lion,  Luxembourg, inactive (with supported aircraft)
Cargo Three,  Panama, inactive (with supported aircraft)
CargoBis,  Brazil, inactive (with supported aircraft)
CargoItalia,  Italy, inactive (with supported aircraft)
CargoJet Airways,  Canada,  39 aircraft 
CargoLogic Germany,  Germany, inactive (with supported aircraft)
Cargologicair,  United Kingdom, inactive (with supported aircraft)
Cargolux,  Luxembourg,  28 aircraft 
Cargolux Italia,  Italy,  2 aircraft 
Carib Express,  Barbados, inactive (with supported aircraft)
Caribair,  Barbados, inactive (with supported aircraft)
Caribbean Airlines,  Trinidad Tobago,  19 aircraft 
Caribbean Airways,  Barbados, inactive (with supported aircraft)
Caribbean Star,  Antigua Barbuda, inactive (with supported aircraft)Renamed / Merged to LIAT
Caribbean Sun,  USA, inactive (with supported aircraft)
Caribbean Wind Airlines,  Antigua Barbuda, inactive (with supported aircraft)
Caribjet,  Antigua Barbuda, inactive (with supported aircraft)
Carnival Airlines,  USA, inactive (with supported aircraft)Renamed / Merged to Pan American Airways
Carpatair,  Romania,  4 aircraft 
Carre Aviation,  United Kingdom, inactive (with supported aircraft)
Casino Express,  USA, inactive (with supported aircraft)Renamed / Merged to Xtra Airways
Caspair Airlines,  Kenya, inactive (with supported aircraft)
Caspian Airlines,  Iran,  11 aircraft 
Caspiy,  Qazakhstan,  4 aircraft 
Castle Aviation,  USA,  4 aircraft 
Cathay Dragon,  Hong-Kong, inactive (with supported aircraft)
Cathay Pacific,  Hong-Kong,  157 aircraft 
Catovair,  Mauritius, inactive (with supported aircraft)
Catran,  Switzerland, inactive (with supported aircraft)
Caucasus Airlines,  Georgia, inactive (with supported aircraft)
Cayman Airways,  Cayman Islands,  6 aircraft 
CCAir,  USA, inactive (with supported aircraft)
CCM Airlines,  France, inactive (with supported aircraft)Renamed / Merged to Air Corsica
CDI Cargo Airlines,  China, inactive (with supported aircraft)Renamed / Merged to Loongair
Cebgo,  Philippines, inactive (with supported aircraft)
Cebu Pacific Airlines,  Philippines,  74 aircraft 
Ceiba Intercontinental,  Equatorial Guinea,  3 aircraft 
Cello Aviation,  United Kingdom, inactive (with supported aircraft)
CemAir,  South Africa,  19 aircraft 
Centavia,  Serbia, inactive (with supported aircraft)
Centennial Air,  Philippines, inactive (with supported aircraft)
Centennial Airlines,  Spain, inactive (with supported aircraft)
Center-South,  Russia, inactive (with supported aircraft)
CentrAfrique Air Express,  Central African Republic, inactive (with supported aircraft)
Central Airlines,  China,  11 aircraft 
Central Charter Airlines,  Czech Republic, inactive (with supported aircraft)
Central Charter Airlines Slovakia,  Slovakia, inactive (with supported aircraft)Renamed / Merged to Samair
Central Connect Airlines - CCA,  Czech Republic, inactive (with supported aircraft)
Central Mountain Air,  Canada,  20 aircraft 
Centralwings,  Poland, inactive (with supported aircraft)
Centrum Air,  Uzbekistan,  3 aircraft 
Centurion Air Cargo,  USA, inactive (with supported aircraft)
Chaba Airlines,  Thailand, inactive (with supported aircraft)
Chabahar Air,  Iran,  3 aircraft 
Chair Airlines,  Switzerland,  4 aircraft 
Chalair Aviation,  France,  10 aircraft 
Chalks International Airlines,  USA, inactive (with supported aircraft)
ChallengAir,  Belgium, inactive (with supported aircraft)
Challenge Air Cargo,  USA, inactive (with supported aircraft)Renamed / Merged to Centurion Air Cargo
Challenge Air Cargo Malta,  Malta,  2 aircraft 
Challenge Air International,  USA, inactive (with supported aircraft)
Challenge Aircargo,  Malta, inactive (with supported aircraft)
Challenge Airlines,  Belgium,  3 aircraft 
Challenge International Airlines,  USA, inactive (with supported aircraft)Renamed / Merged to Challenge Air International
Cham Wings Airlines,  Syria,  3 aircraft 
Champion Air,  USA,  2 aircraft 
Chanchangi Airlines,  Nigeria, inactive (with supported aircraft)
Chang An Airlines,  China, inactive (with supported aircraft)Renamed / Merged to Air Changan
Channel Express,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to Jet2
Charlan Air Charter,  South Africa, inactive (with supported aircraft)
Chartair,  Belgium, inactive (with supported aircraft)
Charter Air Transport,  USA, inactive (with supported aircraft)Renamed / Merged to Via Airlines
Charter Jets,  Lithuania, inactive (with supported aircraft)
Chartright Air,  Canada,  1 aircraft 
Chautauqua Airlines,  USA, inactive (with supported aircraft)Renamed / Merged to Shuttle America
CHC Airways Chad,  Chad, inactive (with supported aircraft)
CHC Global Operations,  Canada, inactive (with supported aircraft)
CHC Helicopters International,  Nigeria, inactive (with supported aircraft)
Chengdu Airlines,  China,  71 aircraft 
Chicago Express Airlines,  USA, inactive (with supported aircraft)
Chile Inter,  Chile, inactive (with supported aircraft)
Chilean Air Force,  Chile,  3 aircraft 
Chilean Airways,  Chile, inactive (with supported aircraft)
Chilejet,  Chile, inactive (with supported aircraft)
China Air Cargo,  China,  1 aircraft 
China Airlines,  Taiwan,  81 aircraft 
China Cargo Airlines,  China,  14 aircraft 
China Central Longhao Airlines,  China,  1 aircraft Renamed / Merged to Air Central
China Eastern Airlines,  China,  622 aircraft 
China Eastern Airlines Executive,  China,  2 aircraft 
China Eastern Yunnan Airlines,  China,  2 aircraft 
China Express Airlines,  China,  69 aircraft 
China Freesky Aviation,  China, inactive (with supported aircraft)
China General Aviation,  China, inactive (with supported aircraft)
China Hainan,  China, inactive (with supported aircraft)
China National Aviation Corp,  China, inactive (with supported aircraft)Renamed / Merged to Air China
China Northern Airlines,  China, inactive (with supported aircraft)Renamed / Merged to China Southern Airlines
China Northwest Airlines,  China, inactive (with supported aircraft)Renamed / Merged to China Eastern Airlines
China Postal Airlines,  China,  27 aircraft 
China Sonangol,  Hong-Kong, inactive (with supported aircraft)
China Southern Airlines,  China,  653 aircraft 
China Southwest Airlines,  China, inactive (with supported aircraft)Renamed / Merged to Air China
China United Airlines,  China,  54 aircraft 
China Xinhua Airlines,  China,  1 aircraft 
China Xinjiang Airlines,  China, inactive (with supported aircraft)Renamed / Merged to China Southern Airlines
China Yunnan Airlines,  China, inactive (with supported aircraft)Renamed / Merged to China Eastern Airlines
China Zhingyuan Airlines,  China, inactive (with supported aircraft)Renamed / Merged to China Southern Airlines
Chongqing Airlines,  China,  30 aircraft 
Chrono Aviation,  Canada,  8 aircraft 
CIAF Leasing,  Egypt, inactive (with supported aircraft)
Cielos del Peru,  Peru, inactive (with supported aircraft)
Cimber Air,  Denmark, inactive (with supported aircraft)Renamed / Merged to Cimber Sterling Airlines
Cimber AS,  Denmark, inactive (with supported aircraft)
Cimber Sterling Airlines,  Denmark, inactive (with supported aircraft)Renamed / Merged to Cimber AS
CIP Transports,  France, inactive (with supported aircraft)
Cirrus Airlines,  Germany, inactive (with supported aircraft)
Citilink,  Indonesia,  49 aircraft 
Citrus Airlines,  Russia,  3 aircraft 
City Airline,  Sweden, inactive (with supported aircraft)
City Airlines,  Germany, inactive (with supported aircraft)
City Airways,  Thailand, inactive (with supported aircraft)
City Express,  Canada, inactive (with supported aircraft)
City-Air Germany,  Germany, inactive (with supported aircraft)
CityBird,  Belgium, inactive (with supported aircraft)
Cityflyer Express,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to British Airways
CityJet,  Ireland,  12 aircraft 
CityLine Hungary,  Hungary, inactive (with supported aircraft)
Citylink Ghana,  Ghana, inactive (with supported aircraft)
Classic Airways,  United Kingdom, inactive (with supported aircraft)
Clay Lacy Aviation,  USA, inactive (with supported aircraft)
Click Mexicana,  Mexico, inactive (with supported aircraft)
Clickair,  Spain, inactive (with supported aircraft)Renamed / Merged to Vueling Airlines
Club Air,  Italy, inactive (with supported aircraft)
Club One Air,  India, inactive (with supported aircraft)
CMA CGM Air Cargo,  France,  6 aircraft 
CMC Aviation,  Kenya, inactive (with supported aircraft)Renamed / Merged to DAC East Africa
Coast Air,  Norway, inactive (with supported aircraft)
Cobalt,  Cyprus, inactive (with supported aircraft)
Cobham Aviation,  Australia,  18 aircraft 
Cobra,  Bolivia, inactive (with supported aircraft)
Cobrajet,  Egypt, inactive (with supported aircraft)
Cobrex Trans,  Romania, inactive (with supported aircraft)
Colgan Air,  USA, inactive (with supported aircraft)
Colombe Airline,  Burkina Faso, inactive (with supported aircraft)
Color Air,  Norway, inactive (with supported aircraft)
Colorful Guizhou Airlines,  China,  18 aircraft 
Colt Aviation,  Brazil, inactive (with supported aircraft)
Comac,  China,  8 aircraft 
Comair,  South Africa, inactive (with supported aircraft)
Comair (Delta Connection),  USA, inactive (with supported aircraft)
Comlux,  Switzerland, inactive (with supported aircraft)
Comlux Aruba,  Aruba,  2 aircraft 
Comlux Aviation Kazakhstan,  Qazakhstan,  4 aircraft 
Comlux Aviation Malta,  Malta,  6 aircraft 
Command Airways,  USA, inactive (with supported aircraft)Renamed / Merged to Flagship Airlines
Common Sky,  Austria, inactive (with supported aircraft)
Community Airlines,  Tanzania, inactive (with supported aircraft)
CommutAir,  USA,  57 aircraft 
Comoro Islands Airlines,  Comoros, inactive (with supported aircraft)
Compagnie Africaine Aviation,"  Congo, Democratic Republic of",  8 aircraft 
Companhia Vale de Rio Doce,  Brazil,  1 aircraft 
Compass Air Cargo,  Bulgaria,  5 aircraft 
Compass Airlines,  Australia, inactive (with supported aircraft)
Compass Airlines USA,  USA, inactive (with supported aircraft)
Compion Aviation South Africa,  South Africa, inactive (with supported aircraft)
Conair Aviation,  Canada,  14 aircraft 
Conair of Scandinavia,  Denmark, inactive (with supported aircraft)Renamed / Merged to Premiair
Condor,  Germany,  61 aircraft 
Condor Berlin,  Germany, inactive (with supported aircraft)Renamed / Merged to Condor
Congo Airlines,"  Congo, Democratic Republic of", inactive (with supported aircraft)Renamed / Merged to Hewa Bora Airways
Congo Airways,"  Congo, Democratic Republic of",  4 aircraft 
Connect Airlines,  USA,  3 aircraft 
Connect Cargo,  Brazil, inactive (with supported aircraft)
ConocoPhilips Aviation,  USA,  2 aircraft 
Conquest Sun Airlines,  USA, inactive (with supported aircraft)Renamed / Merged to airTran
Constellation International,  Belgium, inactive (with supported aircraft)
Contactair,  Germany, inactive (with supported aircraft)Renamed / Merged to OLT Express Germany
Conti Flug,  Germany, inactive (with supported aircraft)
Continent Air Paris,  France, inactive (with supported aircraft)
Continental Airlines,  USA, inactive (with supported aircraft)Renamed / Merged to United Airlines
Continental Express,  USA, inactive (with supported aircraft)Renamed / Merged to Expressjet
Continental Micronesia,  USA, inactive (with supported aircraft)Renamed / Merged to Continental Airlines
Continental West,  USA, inactive (with supported aircraft)Renamed / Merged to Continental Airlines
Continental Wings-Comores Airlines,  Comoros, inactive (with supported aircraft)
Contour Aviation,  USA,  24 aircraft 
ConViasa,  Venezuela,  13 aircraft 
COPA Airlines,  Panama,  92 aircraft 
Copa Airlines Colombia,  Colombia, inactive (with supported aircraft)
Copenhagen Airtaxi,  Denmark,  4 aircraft 
Corendon Air,  Turkey,  21 aircraft 
Corendon Airlines Europe,  Malta,  14 aircraft 
Corendon Dutch Airlines,  Netherlands,  4 aircraft 
Corporate Air,  USA, inactive (with supported aircraft)
Corporate Express,  Canada, inactive (with supported aircraft)
Corporate Jet Management,  United Kingdom, inactive (with supported aircraft)
CorporateAir,  Australia,  10 aircraft 
Corsair,  France,  9 aircraft 
Corse Air International,  France, inactive (with supported aircraft)Renamed / Merged to Corsair
Cosmic Air,  Nepal, inactive (with supported aircraft)
Cosmo Airlines,  Spain, inactive (with supported aircraft)
Costa Airlines,  Venezuela, inactive (with supported aircraft)
Costa Rica Skies Airlines,  Costa Rica, inactive (with supported aircraft)
Coulson Flying Tankers,  USA,  2 aircraft 
Court Line Aviation,  United Kingdom, inactive (with supported aircraft)
Cp Air,  Canada, inactive (with supported aircraft)Renamed / Merged to Canadian Airlines
CR Airways,  Hong-Kong, inactive (with supported aircraft)Renamed / Merged to Hong Kong Airlines
Crescent Air Transport,  Pakistan, inactive (with supported aircraft)
Cretan Airlines,  Greece, inactive (with supported aircraft)
Croatia Airlines,  Croatia,  13 aircraft 
Cronos Airlines,  Equatorial Guinea, inactive (with supported aircraft)
Cronus Airlines,  Greece, inactive (with supported aircraft)Renamed / Merged to Aegean Cronus Airlines
Crossair,  Switzerland, inactive (with supported aircraft)Renamed / Merged to Swiss International Air Lines
Crown Airlines,  Libya,  1 aircraft 
Cruzeiro,  Brazil, inactive (with supported aircraft)
Crystal Thai Airlines,  Thailand, inactive (with supported aircraft)
CSA,  Czech Republic,  2 aircraft 
CSE Aviation,  United Kingdom, inactive (with supported aircraft)
CTA,  Switzerland, inactive (with supported aircraft)Renamed / Merged to Balair
Cubana,  Cuba,  1 aircraft 
Cura,  Netherlands, inactive (with supported aircraft)
CuracaoExel,  Netherlands Antilles, inactive (with supported aircraft)Renamed / Merged to CuracaoExpress
CuracaoExpress,  Netherlands Antilles, inactive (with supported aircraft)
CV Cargo,  Colombia, inactive (with supported aircraft)
Cygnus Air,  Spain,  5 aircraft 
Cyprus Airways,  Cyprus,  5 aircraft 
Cyprus Airways (Old),  Cyprus, inactive (with supported aircraft)
Cyprus Turkish Airlines,  Turkey, inactive (with supported aircraft)
Daallo Airlines,  Djibouti, inactive (with supported aircraft)
DAC Air,  Romania, inactive (with supported aircraft)
DAC Aviation Ghana,  Ghana, inactive (with supported aircraft)
DAC East Africa,  Kenya,  5 aircraft 
Dajets,  USA,  1 aircraft 
Dalia Air,  Morocco, inactive (with supported aircraft)
Dalian Airlines,  China,  13 aircraft 
Damania Airways,  India, inactive (with supported aircraft)Renamed / Merged to Skyline
Dan Air,  Romania,  3 aircraft 
Dan-Air London,  United Kingdom, inactive (with supported aircraft)Renamed / Merged to British Airways
Dana Air,  Nigeria, inactive (with supported aircraft)
Dana Executive Jets,  United Arab Emirates, inactive (with supported aircraft)
Danaus Lineas Aereas,  Mexico, inactive (with supported aircraft)
Danish Air Transport,  Denmark,  19 aircraft 
Danu Oro Transportas,  Lithuania,  2 aircraft 
Danube Wings,  Slovakia, inactive (with supported aircraft)
Dardanel Air,  Turkey, inactive (with supported aircraft)
Dart,  Ukraine, inactive (with supported aircraft)
Darwin Airline,  Switzerland, inactive (with supported aircraft)
DAS Air,  Uganda, inactive (with supported aircraft)
DASA,  Germany, inactive (with supported aircraft)
Dasab Airlines,  Nigeria, inactive (with supported aircraft)
DAT,  Belgium, inactive (with supported aircraft)Renamed / Merged to SN Brussels Airlines
Dau Air,  Germany, inactive (with supported aircraft)
DC Aviation,  Germany,  1 aircraft 
DC Aviation Malta,  Malta,  1 aircraft 
De Havilland Canada,  Canada, inactive (with supported aircraft)
Debonair,  United Kingdom, inactive (with supported aircraft)
Deccan Air Cargo,  India, inactive (with supported aircraft)
Deer Jet,  China,  4 aircraft Renamed / Merged to Capital Airlines Beijing
Delcar,  Paraguay, inactive (with supported aircraft)
Delta Air Lines,  USA,  930 aircraft 
Delta Air Regionalflugverkhr,  Germany, inactive (with supported aircraft)Renamed / Merged to Deutsche BA
Delta Connection,  Kenya, inactive (with supported aircraft)
Dena Airways,  Iran, inactive (with supported aircraft)
Denim Air,  Netherlands, inactive (with supported aircraft)
Department of Homeland Security,  USA,  2 aircraft 
Deraya Air Taxi,  Indonesia, inactive (with supported aircraft)
Deta Air,  Qazakhstan, inactive (with supported aircraft)
DETA Mozambique,  Mozambique, inactive (with supported aircraft)
Deutsche BA,  Germany, inactive (with supported aircraft)Renamed / Merged to Fly-DBA
Dexter Air Taxi,  Russia,  4 aircraft 
DHC,  USA, inactive (with supported aircraft)
DHL Aero Expreso,  Panama,  7 aircraft 
DHL Air,  United Kingdom,  18 aircraft 
DHL Air Austria,  Austria,  18 aircraft 
DHL Airways,  USA, inactive (with supported aircraft)Renamed / Merged to Astar Air Cargo
DHL Aviation,  South Africa, inactive (with supported aircraft)
DHL de Guatemala,  Guatemala,  1 aircraft 
